# Loss = 228.61945778227795

# tsi	tv1m	tv2m	tvp	twm	twp	td	to	tr	xk	uc	uv	ucsi
66.073	8.1797	1245.0	7.3457	35.602	882.55	0.14069	52.618	57.632	9.4093	0.13857	0.026144	0.64359

# t0	TI	IA	v0	w0
-211.1	545.6	0.08981	0.5588	0.9038
-212.6	548.7	0.1434	0.4543	0.9533
-95.54	490.6	0.1221	0.7732	0.896
-96.0	492.0	0.1882	0.5671	0.7782
-148.2	440.5	0.1072	0.4304	0.9338
-148.8	442.3	0.2084	0.1917	0.966
-145.9	358.7	0.1097	0.4067	0.9649
-146.7	358.7	0.1576	0.2382	0.9594
-127.7	338.6	0.07489	0.2779	0.9027
-128.4	338.5	0.1945	0.005289	0.9248
-124.5	320.5	0.1028	0.3827	0.9238
-126.2	321.4	0.1387	0.4056	0.9962
-117.4	314.5	0.08536	0.5606	0.8817
-119.0	314.5	0.1007	0.586	0.9985
210.2	290.6	0.09746	0.4432	0.4749
-78.97	289.4	0.08037	0.5809	0.9161
-98.4	277.8	0.07334	0.6106	0.8018
-99.73	279.0	0.1283	0.5982	0.9448
-103.1	276.8	0.07702	0.5557	0.8386
-105.3	278.1	0.1109	0.5012	0.9535
-114.9	266.4	0.08097	0.3253	0.9309
-114.7	266.9	0.09674	0.641	0.9451
-88.83	261.6	0.07028	0.5591	0.7577
-89.72	261.9	0.09941	0.6743	0.9284
-97.22	252.4	0.05824	0.6496	0.8094
-96.44	252.3	0.07	0.7386	0.9039
-106.2	237.9	0.05512	0.5307	0.9036
-107.9	238.6	0.07827	0.1519	0.9481
-99.46	233.0	0.059	0.8365	0.8482
-101.2	233.7	0.07841	0.6764	0.9145
-95.11	224.8	0.06783	0.6871	0.8269
-96.96	225.3	0.08845	0.6115	0.9141
-81.93	221.7	0.07472	0.5642	0.7671
-81.46	221.4	0.08513	0.563	0.8104
-83.2	209.1	0.08666	0.6907	0.7538
-83.17	209.0	0.1018	0.661	0.869
-81.19	205.9	0.0918	0.7422	0.7345
-80.88	205.4	0.1036	0.4394	0.7179
-84.43	193.8	0.09847	0.4226	0.7519
-87.32	194.5	0.1126	0.7177	0.7523
-71.95	183.4	0.1149	0.6798	0.6077
-76.14	184.2	0.1219	0.7743	0.7414
-81.52	172.5	0.1199	0.7508	0.6754
-84.02	173.3	0.1296	0.8635	0.8912
-57.44	161.7	0.1359	0.6895	0.5362
-57.26	161.3	0.1378	0.9093	0.7206
-69.99	159.8	0.1355	0.8115	0.6477
-71.86	160.4	0.1429	0.8197	0.83
-74.41	144.9	0.1557	0.5802	0.616
-72.4	144.7	0.1612	0.7034	0.4468
-53.07	138.7	0.1653	0.4233	0.5171
-49.18	138.4	0.1639	0.08828	0.6091
-59.43	116.9	0.1997	0.3194	0.5277
-57.04	116.8	0.2019	0.3023	0.4913
-54.41	131.4	0.1668	0.2214	0.3753
-52.72	131.1	0.1729	0.3201	0.4668
-51.43	124.0	0.1824	0.1362	0.5275
-53.43	124.9	0.1712	0.09692	0.5929
63.09	187.9	0.1354	0.5364	0.722
67.0	186.6	0.1496	0.7193	0.9468
-63.06	118.2	0.198	0.1257	0.3201
-61.3	117.8	0.1971	0.1202	0.9063

# Loss (initial) = 30335.121105296603
# Loss (final) = 228.61945778227795
# Loss (resample) = 21490.112699200312
