# Loss = 21417.726792246074

# tsi	tv1m	tv2m	tvp	twm	twp	td	to	tr	xk	uc	uv	ucsi
67.778	15.366	1249.9	7.1112	47.112	869.93	0.17265	17.61	44.963	10.028	0.12159	0.042498	0.64888

# t0	TI	IA	v0	w0
-217.4	543.4	0.08335	0.01727	0.9898
-219.3	543.5	0.1051	0.05173	0.135
-101.0	486.9	0.1016	0.1195	0.9425
-103.0	486.9	0.1034	0.7866	0.895
-153.1	438.9	0.08286	0.6317	0.006877
-155.1	438.9	0.07136	0.1799	0.6887
-150.4	358.0	0.09647	0.1711	0.3497
-152.3	358.3	0.1159	0.8027	0.8986
-132.6	338.3	0.1091	0.6788	0.3844
-134.6	338.4	0.09437	0.1843	0.662
-127.8	321.2	0.1029	0.7677	0.915
-129.8	321.1	0.08953	0.8153	0.9105
-119.3	316.1	0.1011	0.8875	0.03056
-121.3	316.0	0.09924	0.8362	0.8418
207.6	290.7	0.1053	0.2151	0.8247
-82.41	290.9	0.1	0.2454	0.1846
-101.1	279.9	0.1199	0.5314	0.02308
-103.1	279.6	0.06784	0.7099	0.7919
-104.4	278.5	0.1198	0.05566	0.7926
-106.4	278.4	0.1073	0.2323	0.3361
-117.1	268.1	0.1034	0.8609	0.8615
-117.2	267.8	0.09556	0.85	0.925
-90.54	262.4	0.07636	0.4857	0.676
-90.46	262.7	0.09468	0.2122	0.862
-98.23	254.5	0.1047	0.5141	0.01698
-98.3	254.2	0.07858	0.5922	0.8019
-107.2	239.7	0.07243	0.03485	0.2734
-109.1	240.0	0.09186	0.6882	0.6665
-100.5	235.1	0.1088	0.6442	0.5866
-100.5	235.3	0.1174	0.2435	0.3678
-96.43	226.4	0.0982	0.2484	0.3456
-95.03	226.2	0.185	0.4424	0.7428
-82.67	223.3	0.1072	0.9416	0.772
-82.72	223.0	0.09636	0.9653	0.4176
-82.5	210.9	0.0951	0.8602	0.3463
-84.5	210.9	0.08654	0.4027	0.4379
-78.67	206.9	0.0644	0.5681	0.03134
-80.55	207.5	0.09868	0.02658	0.07969
-85.0	195.4	0.09275	0.3756	0.09516
-86.87	195.6	0.0919	0.5882	0.3514
-71.13	184.4	0.167	0.4241	0.6501
-75.79	185.4	0.08515	0.3744	0.5903
-80.09	174.1	0.09947	0.7303	0.4333
-82.05	174.0	0.1073	0.5567	0.4566
-53.36	161.6	0.1764	0.401	0.7524
-54.31	162.5	0.103	0.09883	0.5094
-67.46	160.2	0.1006	0.8357	0.6078
-68.48	159.7	0.1747	0.3303	0.292
-69.95	145.6	0.06805	0.5791	0.7026
-67.99	145.3	0.1044	0.4889	0.6398
-48.85	139.0	0.1011	0.03989	0.03509
-45.41	138.0	0.1845	0.7865	0.4754
-55.24	114.4	0.111	0.5725	0.6008
-52.19	114.5	0.1135	0.5512	0.8555
-50.96	128.6	0.07702	0.3048	0.5829
-47.49	130.6	0.1718	0.6859	0.5929
-52.17	124.1	0.1872	0.6791	0.7772
-49.65	125.1	0.1109	0.657	0.9388
64.6	188.6	0.09675	0.5427	0.1157
62.47	188.3	0.09777	0.8831	0.4201
-58.71	118.5	0.0978	0.534	0.7158
-59.48	118.3	0.1867	0.3245	0.6652
