# Loss = 73.99126905985875

# tsi	tv1m	tv2m	tvp	twm	twp	td	to	tr	xk	uc	uv	ucsi
71.079	21.769	1055.0	6.0619	140.95	889.31	0.47525	5.8876	67.938	9.3588	0.14037	0.040407	0.69952

# t0	TI	IA	v0	w0
-214.7	544.3	0.04416	0.7781	0.845
-217.1	543.3	0.05154	0.6584	0.9029
-99.58	488.2	0.04938	0.4485	0.7389
-98.95	486.0	0.05834	0.7068	0.8149
-152.3	440.3	0.05902	0.3679	0.8362
-154.0	440.8	0.06142	0.6193	0.9108
-150.9	356.5	0.04058	0.1762	0.9134
-152.8	357.6	0.04704	0.273	0.9444
-133.9	336.0	0.03764	0.1348	0.9109
-134.6	337.7	0.04866	0.1098	0.9415
-130.0	318.5	0.03938	0.2667	0.9008
-128.9	320.3	0.07548	0.01921	0.893
-122.1	311.1	0.03444	0.3859	0.8982
-122.3	314.2	0.05204	0.2166	0.9267
204.8	288.2	0.03654	0.853	0.05262
-83.85	289.4	0.04669	0.01874	0.8938
-102.2	275.3	0.04057	0.1643	0.8557
-102.7	278.2	0.06043	0.02264	0.895
-106.6	274.5	0.03853	0.2763	0.8776
-107.6	277.1	0.04861	0.0762	0.9048
-117.2	266.3	0.07083	0.454	0.8644
-118.0	266.6	0.06346	0.2935	0.9117
-92.56	259.7	0.04001	0.1915	0.8494
-92.81	262.3	0.05871	0.08472	0.8953
-98.96	250.1	0.0406	0.3735	0.8527
-99.14	252.0	0.05703	0.03394	0.8979
-109.3	239.0	0.051	0.6561	0.8632
-109.3	239.9	0.08568	0.3742	0.899
-102.1	233.6	0.04805	0.6276	0.8498
-103.5	234.1	0.05284	0.5127	0.8931
-97.47	224.7	0.04682	0.6134	0.8231
-98.47	225.6	0.06109	0.4558	0.8899
-84.1	221.2	0.04194	0.6276	0.8108
-86.0	222.9	0.04822	0.3021	0.8754
-85.58	208.8	0.04456	0.6741	0.7952
-86.24	209.0	0.04749	0.9401	0.8575
-82.59	204.8	0.04311	0.7786	0.7831
-82.9	205.8	0.05078	0.4635	0.8154
-88.9	192.7	0.04169	0.8047	0.8142
-87.81	193.6	0.05822	0.4673	0.8617
-76.26	183.1	0.04412	0.9605	0.7721
-79.05	183.2	0.04525	0.8658	0.868
-76.23	170.3	0.08901	0.3258	0.6943
-80.13	172.2	0.08897	0.291	0.7971
-54.77	160.7	0.07639	0.8338	0.6787
-56.84	160.8	0.0531	0.6536	0.8187
-71.99	159.0	0.04867	0.8196	0.7605
-72.06	160.0	0.05989	0.66	0.8554
-72.39	144.4	0.08044	0.7047	0.6237
-69.24	142.8	0.06659	0.3218	0.7436
-51.89	138.0	0.06386	0.6025	0.6286
-49.83	137.3	0.06338	0.3756	0.6619
-54.59	115.8	0.1165	0.2988	0.5512
-52.8	116.0	0.1164	0.4471	0.5757
-52.6	130.2	0.06775	0.5513	0.5675
-52.4	131.1	0.07206	0.5097	0.6175
-52.48	123.9	0.09243	0.5265	0.5806
-53.97	125.1	0.07648	0.6444	0.5455
64.38	187.8	0.09865	0.5493	0.888
65.07	192.6	0.1466	0.1842	0.9682
-62.82	118.2	0.1375	0.3061	0.4693
-59.0	116.3	0.1435	0.534	0.5231

# Loss (initial) = 9317.868608311193
# Loss (final) = 73.99126905985875
# Loss (resample) = 4847.782309542214
