# Loss = 47722.91099051107

# tsi	tv1m	tv2m	tvp	twm	twp	td	to	tr	xk	uc	uv	ucsi
87.43	27.08	1252.3	14.113	114.72	870.91	0.5	14.5	86.686	10.997	0.15	0.012236	0.67

# t0	TI	IA	v0	w0
-211.9	548.0	0.0	0.0	0.9986
-212.3	546.6	0.0002768	0.07099	0.9991
-96.09	490.5	0.0	0.09119	0.9976
-97.76	492.3	0.000427	0.2278	0.9136
-152.1	435.2	0.25	0.3705	0.9993
-153.4	434.2	0.00048	0.1937	0.9991
-148.2	357.0	0.0003344	0.0005537	0.9987
-148.3	360.7	0.0004931	0.9993	0.2074
-131.5	335.3	0.25	0.2558	0.9993
-130.3	336.0	0.0007086	0.3957	0.3417
-125.8	319.8	0.0006652	0.3666	0.7137
-128.1	315.5	0.0	0.4762	0.9992
-118.6	312.6	0.0005295	0.0005788	0.9989
-118.9	312.3	0.0	0.6081	0.9994
205.5	287.7	0.2435	0.2794	0.4002
-79.94	291.2	0.0	0.3047	0.9996
-99.62	278.6	0.25	0.1389	0.9991
-98.11	279.5	0.25	0.127	0.9983
-103.3	275.8	0.0004522	0.004187	0.9988
-102.1	275.0	0.2483	0.1156	0.999
-116.0	264.9	0.0008903	0.02228	0.8382
-115.5	268.1	0.000705	0.5239	0.9993
-85.77	266.3	0.0005835	0.4944	0.9988
-85.29	261.6	0.2449	3.726e-5	0.9982
-96.03	250.8	0.0006704	0.09453	0.9989
-98.01	249.8	0.2447	0.05298	0.9995
-108.4	232.8	0.003146	0.3133	0.0
-104.4	242.1	0.00451	0.001386	0.0
-99.86	232.5	0.2471	0.9938	1.0
-99.46	229.9	0.2445	0.8932	0.9983
-97.09	223.4	0.0003883	0.7075	0.999
-97.96	222.4	0.0005068	0.8868	0.9994
-80.54	226.6	0.0005945	0.5621	0.9986
-78.93	228.2	0.25	0.958	0.9988
-83.01	208.8	0.0004229	0.3744	0.9983
-89.18	212.7	0.0	0.001122	0.9977
-79.61	207.1	0.0004353	0.9992	0.9964
-81.01	203.9	0.25	0.5973	0.9984
-86.38	196.8	0.0005908	0.9979	1.0
-87.29	188.8	0.2444	0.9993	0.9975
-76.28	175.9	0.2476	0.2172	0.5785
-74.55	186.6	0.0	0.9978	0.9974
-79.15	165.4	0.2498	0.998	0.5714
-80.27	164.5	0.2446	0.9763	0.9986
-60.03	151.3	0.25	0.7197	1.0
-51.66	167.9	0.001085	0.9992	0.9984
-63.57	169.0	0.00124	0.9985	0.9955
-66.62	164.2	0.0007495	0.9931	0.9986
-71.12	147.0	0.002008	0.6796	0.9923
-78.08	134.3	0.2449	0.9881	0.02224
-59.01	128.4	0.2483	0.993	0.008064
-49.75	130.6	0.247	0.01566	0.9854
-44.12	125.7	0.0	0.9783	0.9835
-48.39	125.9	0.2496	1.0	1.0
-49.48	132.7	0.2472	0.0	1.0
-51.04	119.9	0.2496	0.0003334	0.01394
-42.03	121.4	0.25	0.0003353	0.7948
-47.41	116.0	0.2479	1.0	0.02759
68.49	188.8	0.0006409	0.274	0.9983
66.5	179.7	0.0004144	0.2934	0.9985
-67.24	107.7	0.2497	0.001334	0.002804
-59.3	127.4	0.2499	0.06568	0.9915
